S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-07-16,131,NABIL,Nabil Bank Limited,595.0000,605.9000,590.0000,599.2000,73028,43608617.0000,590.0000,930.0000,574.3000,2023-07-16T14:59:55.535054,599.2000,714,597.14,162125.53
2,2023-07-16,132,NIMB,Nepal Investment Mega Bank Limited,175.0000,177.7000,172.5000,173.8000,139250,24162488.2000,174.9000,278.4000,170.1000,2023-07-16T14:59:44.343187,173.8000,453,173.51,59315.50
3,2023-07-16,134,HBL,Himalayan Bank Limited,211.9000,213.0000,208.0000,212.8000,24838,5238008.9000,208.9000,369.3000,206.0000,2023-07-16T14:59:56.332546,212.8000,171,210.88,46085.28
4,2023-07-16,137,EBL,Everest Bank Limited,570.0000,581.0000,558.0000,563.0000,21678,12190367.6000,562.0000,596.7000,421.5000,2023-07-16T14:59:55.953245,563.0000,175,562.33,60230.27
5,2023-07-16,140,MBL,Machhapuchhre Bank Limited,227.0000,232.7000,227.0000,231.8000,35728,8239732.4000,228.2000,268.0000,199.0000,2023-07-16T14:59:12.042616,231.8000,104,230.62,23776.09
6,2023-07-16,147,SHL,Soaltee Hotel Limited,494.0000,494.0000,480.0000,485.0000,111915,54487518.7000,486.0000,536.0000,191.8000,2023-07-16T14:59:57.814465,485.0000,346,486.86,42908.68
7,2023-07-16,148,TRH,Taragaon Regency Hotel Limited,790.0000,796.0000,782.0000,790.3000,19402,15308640.6000,780.0000,890.5000,310.0000,2023-07-16T14:59:51.690684,790.3000,130,789.02,14910.23
8,2023-07-16,149,OHL,Oriental Hotels Limited,786.5000,805.0000,786.0000,799.0000,17037,13511428.9000,789.0000,842.0000,413.8000,2023-07-16T14:59:50.852499,799.0000,75,793.06,9013.44
9,2023-07-16,152,NHPC,National Hydro Power Company Limited,180.5000,180.5000,175.0000,177.9000,39944,7097013.2000,180.5000,297.8000,165.1000,2023-07-16T14:59:52.573182,177.9000,222,177.67,4269.60
10,2023-07-16,154,CHCL,Chilime Hydropower Company Limited,548.0000,548.0000,528.1000,536.7000,22932,12267132.2000,538.0000,594.0000,350.1000,2023-07-16T14:59:37.636097,536.7000,163,534.93,38954.65
