S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-07-17,132,NIMB,Nepal Investment Mega Bank Limited,174.0000,185.9000,174.0000,184.0000,146645,26464862.7000,173.8000,278.4000,170.1000,2023-07-17T14:59:58.595261,184.0000,781,180.46,62796.61
2,2023-07-17,135,SBI,Nepal SBI Bank Limited,345.5000,352.0000,341.0000,351.9000,51672,18003135.5000,341.0000,378.4000,251.0000,2023-07-17T14:59:58.217247,351.9000,198,348.41,35614.49
3,2023-07-17,137,EBL,Everest Bank Limited,563.0000,581.5000,560.0000,581.5000,61987,35622103.2000,563.0000,596.7000,421.5000,2023-07-17T14:59:51.149651,581.5000,361,574.67,62209.42
4,2023-07-17,147,SHL,Soaltee Hotel Limited,488.0000,499.5000,479.0000,497.0000,157729,77332248.0000,485.0000,536.0000,191.8000,2023-07-17T14:59:54.949392,497.0000,497,490.28,43970.34
5,2023-07-17,149,OHL,Oriental Hotels Limited,790.0000,824.0000,783.1000,816.0000,35319,28578123.7000,799.0000,842.0000,413.8000,2023-07-17T14:59:30.771970,816.0000,215,809.14,9205.22
6,2023-07-17,153,BPCL,Butwal Power Company Limited,326.0000,334.0000,326.0000,333.0000,8079,2674443.0000,330.5000,377.0000,288.0000,2023-07-17T14:59:07.020637,333.0000,98,331.03,11352.19
7,2023-07-17,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,999.0000,1012.0000,981.0000,1006.0000,16925,16984141.8000,1000.0000,1303.0000,727.0000,2023-07-17T14:59:59.694362,1006.0000,307,1003.49,28524.14
8,2023-07-17,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,826.0000,841.0000,815.0000,836.1000,8920,7417128.1000,826.0000,1178.0000,606.7000,2023-07-17T14:59:24.684057,836.1000,124,831.51,12968.65
9,2023-07-17,171,SANIMA,Sanima Bank Limited,264.0000,275.0000,259.3000,275.0000,147938,39945794.4000,260.5000,280.0000,222.0000,2023-07-17T14:59:58.675746,275.0000,632,270.01,34265.32
10,2023-07-17,176,NICL,Nepal Insurance Co. Ltd.,810.1000,848.0000,810.1000,842.0000,22387,18658304.0000,820.0000,907.0000,385.1000,2023-07-17T14:59:57.996184,842.0000,185,833.44,12585.93
11,2023-07-17,178,NLICL,National Life Insurance Co. Ltd.,646.0000,665.0000,645.0000,664.0000,20507,13496216.1000,645.0000,705.0000,492.0000,2023-07-17T14:59:32.497762,664.0000,157,658.12,33277.47
12,2023-07-17,179,HEI,Himalayan Everest Insurance Limited,608.0000,625.0000,605.1000,620.0000,28992,17848914.1000,600.0000,635.0000,345.0000,2023-07-17T14:59:56.584900,620.0000,169,615.64,14269.52
13,2023-07-17,182,SPIL,Siddhartha Premier Insurance Limited,777.0000,795.0000,774.0000,795.0000,44388,34940459.2000,778.5000,817.0000,500.1000,2023-07-17T14:59:57.927194,795.0000,204,787.16,22312.07
14,2023-07-17,183,NIL,Neco Insurance Limited,892.0000,905.0000,892.0000,904.9000,8167,7372439.9000,891.1000,946.0000,660.0000,2023-07-17T14:59:35.806866,904.9000,97,902.71,18209.85
15,2023-07-17,184,PRIN,Prabhu Insurance Ltd.,743.2000,777.0000,743.0000,776.9000,38862,29756869.3000,747.0000,777.0000,378.0000,2023-07-17T14:59:20.435562,776.9000,291,765.70,10691.09
16,2023-07-17,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,760.0000,770.0000,741.0000,765.0000,20219,15425563.4000,748.0000,957.0000,551.4000,2023-07-17T14:59:54.206616,765.0000,103,762.92,20063.18
17,2023-07-17,186,IGI,IGI Prudential insurance Limited,559.1000,583.6000,559.0000,582.0000,88764,51176163.1000,560.0000,615.0000,335.0000,2023-07-17T14:59:48.515981,582.0000,425,576.54,17630.73
18,2023-07-17,192,SICL,Shikhar Insurance Co. Ltd.,842.0000,869.0000,842.0000,865.0000,16907,14505196.7000,845.0000,1010.0000,682.0000,2023-07-17T14:59:39.447759,865.0000,184,857.94,22965.29
19,2023-07-17,194,NFS,Nepal Finance Ltd.,358.0000,372.0000,347.6000,369.9000,53039,19334141.2000,351.0000,390.0000,238.0000,2023-07-17T14:59:39.907839,369.9000,351,364.52,3103.25
20,2023-07-17,204,GUFL,Gurkhas Finance Ltd.,554.0000,580.0000,554.0000,578.0000,23126,13261652.8000,560.0000,715.0000,454.0000,2023-07-17T14:59:59.695023,578.0000,196,573.45,5017.00
21,2023-07-17,219,UNL,Unilever Nepal Limited,32338.1000,33657.9000,32338.1000,33489.0000,338,11193556.0000,32998.0000,37838.0000,16556.7000,2023-07-17T14:58:34.730850,33489.0000,20,33117.02,30833.32
22,2023-07-17,236,PFL,Pokhara Finance Ltd.,391.0000,412.8000,391.0000,409.0000,16461,6738892.0000,398.0000,470.0000,307.0000,2023-07-17T14:59:54.187944,409.0000,105,409.38,4427.66
23,2023-07-17,245,CFCL,Central Finance Co. Ltd.,391.0000,410.0000,391.0000,406.5000,22573,9137120.2000,393.0000,423.0000,275.5000,2023-07-17T14:59:57.274918,406.5000,161,404.78,3857.18
24,2023-07-17,255,PRVU,Prabhu  Bank Limited,162.0000,170.0000,161.2000,169.0000,161071,26958781.2000,162.6000,234.9000,155.0000,2023-07-17T14:59:58.441345,169.0000,774,167.37,39786.81
25,2023-07-17,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,399.0000,421.9000,395.4000,421.0000,77056,31851828.1000,396.8000,424.0000,277.0000,2023-07-17T14:59:56.517858,421.0000,281,413.35,4261.26
26,2023-07-17,274,EDBL,Excel Development Bank Ltd.,331.9000,336.6000,324.0000,336.0000,22015,7304287.0000,325.4000,442.8000,266.4000,2023-07-17T14:59:18.503357,336.0000,106,331.78,4198.97
27,2023-07-17,348,CZBIL,Citizens Bank International Limited,176.0000,178.2000,172.5000,178.2000,97645,17152709.5000,173.1000,224.0000,165.0000,2023-07-17T14:59:58.034451,178.2000,284,175.66,25306.14
28,2023-07-17,357,PCBL,Prime Commercial Bank Ltd.,194.0000,200.5000,193.0000,199.9000,85478,16871871.4000,195.0000,271.9000,186.0000,2023-07-17T14:59:58.933947,199.9000,451,197.38,38785.75
29,2023-07-17,131,NABIL,Nabil Bank Limited,607.0000,612.0000,598.0000,611.0000,73868,44868342.9000,599.2000,930.0000,574.3000,2023-07-17T14:59:59.943641,611.0000,907,607.41,165318.26
30,2023-07-17,133,SCB,Standard Chartered Bank Limited,533.0000,547.0000,532.1000,546.0000,23601,12774592.1000,530.1000,572.0000,387.0000,2023-07-17T14:59:59.079620,546.0000,225,541.27,51484.82
31,2023-07-17,134,HBL,Himalayan Bank Limited,213.0000,219.0000,210.0000,217.0000,49453,10665468.8000,212.8000,369.3000,206.0000,2023-07-17T14:59:42.757723,217.0000,258,215.66,46994.86
32,2023-07-17,139,NICA,NIC Asia Bank Ltd.,798.0000,807.0000,789.0000,803.0000,55849,44687582.3000,793.8000,861.9000,600.3000,2023-07-17T14:59:46.407543,803.0000,423,800.15,92858.96
33,2023-07-17,140,MBL,Machhapuchhre Bank Limited,236.3000,244.0000,232.1000,241.2000,47648,11413948.5000,231.8000,268.0000,199.0000,2023-07-17T14:59:57.735445,241.2000,213,239.54,24740.26
34,2023-07-17,142,KBL,Kumari Bank Limited,165.0000,173.0000,164.0000,170.7000,221976,37601494.9000,165.0000,219.8000,155.0000,2023-07-17T14:59:59.585899,170.7000,725,169.39,44767.55
35,2023-07-17,145,SBL,Siddhartha Bank Limited,253.1000,267.0000,253.1000,266.0000,93155,24370138.4000,253.0000,348.0000,238.0000,2023-07-17T14:59:58.208113,266.0000,451,261.60,37479.35
36,2023-07-17,148,TRH,Taragaon Regency Hotel Limited,775.0000,815.9000,775.0000,813.0000,40658,32738442.8000,790.3000,890.5000,313.0000,2023-07-17T14:59:52.914447,813.0000,216,805.21,15338.50
37,2023-07-17,152,NHPC,National Hydro Power Company Limited,181.0000,181.5000,174.0000,179.0000,48939,8743853.5000,177.9000,297.8000,165.1000,2023-07-17T14:59:59.699416,179.0000,239,178.66,4296.00
38,2023-07-17,154,CHCL,Chilime Hydropower Company Limited,536.7000,546.0000,530.1000,543.0000,19305,10433964.3000,536.7000,594.0000,350.1000,2023-07-17T14:59:59.010908,543.0000,164,540.47,39411.91
39,2023-07-17,155,STC,Salt Trading Corporation,4990.0000,5005.0000,4900.0000,4975.0000,1286,6418262.0000,4899.0000,5250.0000,3350.0000,2023-07-17T14:58:13.342210,4975.0000,44,4990.87,13874.50
40,2023-07-17,156,BBC,Bishal Bazar Company Limited,3455.0000,3487.0000,3380.0000,3449.0000,380,1311649.0000,3430.0000,4075.0000,3050.0000,2023-07-17T14:59:45.475399,3449.0000,20,3451.70,1694.84
41,2023-07-17,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,762.0000,778.0000,742.0000,776.0000,12930,9855453.3000,765.0000,1154.0000,512.1000,2023-07-17T14:59:37.864790,776.0000,141,762.21,20269.74
42,2023-07-17,172,NABBC,Narayani Development Bank Limited,422.2000,439.0000,414.0000,419.1000,1994,854287.8000,414.0000,513.7000,336.0000,2023-07-17T14:59:36.615577,419.1000,17,428.42,1100.00
43,2023-07-17,177,RBCL,Rastriya Beema Company Limited,16000.0000,16100.0000,15582.0000,16020.0000,1167,18616745.0000,16099.0000,17140.0000,12200.0000,2023-07-17T14:59:50.130860,16020.0000,78,15952.65,42715.17
44,2023-07-17,180,UAIL,United Ajod Insurance Limited,518.9000,538.4000,499.2000,538.4000,2554,1363372.3000,489.4900,538.4000,326.0000,2023-07-17T14:54:05.280930,538.4000,54,533.81,10254.19
45,2023-07-17,187,NLIC,Nepal Life Insurance Co. Ltd.,742.1000,763.9000,742.1000,763.0000,50533,38219818.2000,744.0000,836.4000,570.0000,2023-07-17T14:59:52.212244,763.0000,451,756.33,62626.79
46,2023-07-17,188,LICN,Life Insurance Corporation (Nepal) Limited,1527.0000,1630.0000,1527.0000,1599.0000,2870,4541058.0000,1555.0000,1800.0000,1183.0000,2023-07-17T14:52:39.758883,1599.0000,45,1582.25,42424.67
47,2023-07-17,210,CIT,Citizen Investment Trust,2085.0000,2121.9000,2080.0000,2118.0000,11591,24465746.4000,2089.0000,3072.0000,1780.0000,2023-07-17T14:59:59.627413,2118.0000,290,2110.75,112545.23
48,2023-07-17,213,BNT,Bottlers Nepal (Terai) Limited,13870.0000,14000.0000,13870.0000,14000.0000,40,556600.0000,13800.0000,14880.0000,11152.0000,2023-07-17T13:00:00.528605,14000.0000,4,13915.00,16940.00
49,2023-07-17,227,BFC,Best Finance Company Ltd.,348.0000,366.0000,348.0000,366.0000,21676,7846605.0000,353.0000,475.0000,287.0000,2023-07-17T14:59:54.547498,366.0000,152,361.99,3128.63
50,2023-07-17,232,GFCL,Goodwill Finance Limited,476.1000,508.0000,476.1000,508.0000,41296,20678284.5000,483.0000,634.0000,405.1000,2023-07-17T14:59:59.323723,508.0000,114,500.73,4806.27
