S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
46,2023-07-13,210,CIT,Citizen Investment Trust,2147.0000,2147.0000,2085.0000,2093.0000,15377,32417506.5000,2113.0000,3072.0000,1780.0000,2023-07-13T14:59:56.546443,2093.0000,423,2108.18,111216.80
47,2023-07-13,213,BNT,Bottlers Nepal (Terai) Limited,14000.0000,14000.0000,13800.0000,13800.0000,25,345620.0000,13743.0000,14880.0000,11152.0000,2023-07-13T12:11:44.454981,13800.0000,3,13824.80,16698.00
48,2023-07-13,219,UNL,Unilever Nepal Limited,32700.0000,32700.0000,31886.0000,32500.0000,110,3545860.0000,32536.0000,37838.0000,16556.7000,2023-07-13T14:59:07.466107,32500.0000,11,32235.09,29922.75
49,2023-07-13,236,PFL,Pokhara Finance Ltd.,405.0000,415.0000,398.0000,399.0000,23978,9694942.1000,412.0000,470.0000,307.0000,2023-07-13T14:59:34.491144,399.0000,155,404.32,4319.40
50,2023-07-13,238,NMB,NMB Bank Limited,226.0000,226.0000,222.2000,224.0000,43973,9832983.8000,223.0000,277.0000,215.0000,2023-07-13T14:57:53.512165,224.0000,184,223.61,41141.42
51,2023-07-13,245,CFCL,Central Finance Co. Ltd.,403.1000,406.0000,390.0000,392.0000,53721,21323784.1000,403.0000,423.0000,275.5000,2023-07-13T14:59:56.084553,392.0000,256,396.93,3719.59
52,2023-07-13,255,PRVU,Prabhu  Bank Limited,161.0000,163.0000,159.6000,160.0000,183895,29574574.6000,159.0000,234.9000,155.0000,2023-07-13T14:59:58.603379,160.0000,601,160.82,37667.98
53,2023-07-13,256,SFCL,Samriddhi Finance Company Limited,342.7000,342.7000,320.0000,324.0000,53356,17719882.2000,336.0000,375.0000,215.7000,2023-07-13T14:59:55.368838,324.0000,297,332.10,2653.27
54,2023-07-13,273,ICFC,ICFC Finance Limited,538.0000,542.9000,521.0000,524.0000,53621,28643857.4000,534.0000,585.0000,391.0000,2023-07-13T14:59:52.219578,524.0000,366,534.19,6201.39
55,2023-07-13,274,EDBL,Excel Development Bank Ltd.,335.0000,339.0000,322.5000,326.0000,18636,6093083.6000,329.0000,442.8000,266.4000,2023-07-13T14:59:22.439158,326.0000,110,326.95,4074.00
56,2023-07-13,338,PROFL,Progressive Finance Limited,422.0000,436.0000,414.0000,419.0000,55692,23543855.4000,429.0000,465.0000,230.0000,2023-07-13T14:59:59.591606,419.0000,334,422.75,3587.09
57,2023-07-13,341,GBIME,Global IME Bank Limited,182.9000,185.0000,182.0000,183.5000,86772,15922680.0000,180.5000,251.4000,176.0000,2023-07-13T14:59:42.637159,183.5000,517,183.50,65639.89
58,2023-07-13,307,NTC,Nepal Doorsanchar Company Limited,919.0000,924.9000,900.0000,902.3000,131115,118448514.5000,910.0000,1007.7000,758.0000,2023-07-13T14:59:57.234641,902.3000,528,903.39,162414.00
59,2023-07-13,348,CZBIL,Citizens Bank International Limited,173.0000,173.0000,169.0000,169.0000,32498,5547843.4000,170.9000,224.0000,165.0000,2023-07-13T14:59:21.918991,169.0000,146,170.71,23999.65
60,2023-07-13,357,PCBL,Prime Commercial Bank Ltd.,188.6000,196.0000,188.6000,191.7000,50993,9800503.8000,192.4000,271.9000,186.0000,2023-07-13T14:59:59.619720,191.7000,207,192.19,37194.74
61,2023-07-13,359,SRBL,Sunrise Bank Limited,170.0000,175.0000,170.0000,173.1000,44618,7714872.3000,168.1000,226.5000,167.7000,2023-07-13T14:59:44.316456,173.1000,157,172.90,17515.80
62,2023-07-13,371,MDB,Miteri Development Bank Limited,419.5000,421.2000,402.0000,403.0000,21359,8775887.4000,413.0000,447.0000,341.5000,2023-07-13T14:59:49.351775,403.0000,105,410.87,4090.46
63,2023-07-13,385,ALICL,Asian Life Insurance Co. Limited,770.0000,783.9000,745.0000,750.0000,76660,57922470.4000,757.0000,812.0000,428.0000,2023-07-13T14:59:53.769831,750.0000,361,755.57,23664.75
